T,M5 F1,M5 P1,M5 V1,M5 A1,M5 F2,M5 P2,M5 V2,M5 A2,M5 F3,M5 P3,M5 V3,M5 A3,M5 F4,M5 P4,M5 V4,M5 A4,M5 F5,M5 P5,M5 V5,M5 A5
1.28,11.18856,0.47279,-0.24448,5.03490,8.21724,0.55045,-0.73402,1.74398,9.88391,0.51121,0.66428,3.01157,9.09839,0.52356,0.74164,2.33563,2.84154,0.70768,0.05983,-7.49889
1.32,11.53009,0.46895,-0.03678,5.08770,9.28965,0.52328,-0.62598,2.72389,8.75686,0.54331,0.76032,1.42083,8.12844,0.55703,0.75936,0.23317,2.93034,0.69231,-0.29860,-6.40452
1.36,11.44129,0.47005,0.16578,4.98131,10.33473,0.50051,-0.50726,3.48055,7.55467,0.57487,0.77442,-0.17348,7.00822,0.58584,0.71668,-0.99751,3.36750,0.67530,-0.47410,-4.56354
1.40,10.91533,0.48240,0.36320,4.75396,11.02462,0.48212,-0.36034,4.44550,6.34565,0.60642,0.74050,-1.63626,5.90849,0.61328,0.67380,-1.99131,4.07788,0.65444,-0.62350,-3.37680
1.44,10.23227,0.49941,0.55147,4.22226,11.39348,0.46950,-0.15816,5.43904,5.17761,0.63606,0.64465,-3.04254,4.96586,0.64210,0.57090,-3.17156,5.10930,0.62563,-0.75003,-2.12483
1.48,9.21451,0.52602,0.73059,3.19207,11.50960,0.46675,0.10690,5.62298,4.26231,0.66021,0.48706,-4.13122,4.20766,0.66103,0.41217,-4.16218,6.29100,0.59161,-0.80567,-0.67555
1.52,8.02598,0.56032,0.82796,2.47669,11.07927,0.48020,0.32699,4.88312,3.56558,0.67612,0.29574,-4.74219,3.67487,0.67557,0.22771,-4.86578,7.49319,0.55895,-0.79824,0.72583
1.56,6.89210,0.59956,0.75022,7.65703,10.42353,0.49474,0.49830,3.94648,3.13525,0.68380,0.09604,-5.00327,3.50411,0.68024,0.01391,-5.21130,8.75003,0.52685,-0.74641,2.15156
1.60,5.63526,0.62234,1.11284,16.66501,9.59702,0.52026,0.64751,2.80659,3.16941,0.68353,-0.10099,-5.20031,3.62023,0.67722,-0.20847,-4.97218,9.85659,0.49804,-0.64427,3.87688
1.64,4.63799,0.64402,2.06886,19.65541,8.38117,0.54880,0.73173,1.43817,3.46995,0.67749,-0.33214,-5.00208,4.03007,0.66295,-0.41046,-4.03144,10.68309,0.47060,-0.42894,5.31703
1.68,3.87296,0.66762,4.99884,-24.62414,7.21314,0.58036,0.76565,-0.04962,4.08471,0.65582,-0.53184,-4.01212,4.76777,0.64155,-0.53984,-2.79362,11.28419,0.46209,-0.16769,5.56409
1.72,3.31285,1.40657,0.34776,-70.09599,6.07242,0.61219,0.73154,-1.65664,5.04100,0.63249,-0.66504,-2.63006,5.67625,0.61850,-0.62578,-1.65677,11.50960,0.46072,0.02820,5.39021
1.76,3.18990,0.71097,-4.63488,-28.85488,4.89072,0.64072,0.63493,-3.26313,6.09291,0.60121,-0.74641,-1.09728,6.72816,0.59078,-0.67609,-0.44953,11.34566,0.46319,0.24525,5.41297
1.80,3.36750,0.66899,-1.97549,16.83757,4.05056,0.66542,0.46629,-4.64889,7.26778,0.56993,-0.74907,0.36232,7.86205,0.56225,-0.66809,0.87510,10.88801,0.47883,0.48306,4.86340
1.84,3.79099,0.65801,-0.98879,15.98602,3.46312,0.68051,0.23476,-5.27005,8.47680,0.54002,-0.70639,1.61615,8.89347,0.53508,-0.59511,1.98813,10.06151,0.50407,0.66523,3.55320
1.88,4.59018,0.63688,-0.60997,7.12850,3.14208,0.68353,0.01277,-5.07434,9.49456,0.51313,-0.63226,3.09640,9.82926,0.51505,-0.51126,3.09984,9.05057,0.53481,0.77327,1.94658
1.92,5.56696,0.60862,-0.69667,0.71220,3.25821,0.67969,-0.17093,-4.74205,10.38255,0.48596,-0.46858,4.67457,10.50550,0.49118,-0.35215,4.22795,7.87571,0.56746,0.82053,0.25288
1.96,6.65302,0.57871,-0.73669,0.19678,3.62706,0.67036,-0.35805,-4.45953,11.01096,0.47224,-0.22257,5.42051,10.89484,0.48514,-0.14616,4.69680,6.60521,0.60203,0.80700,-1.66696
2.00,7.87571,0.54798,-0.71535,1.34342,4.31695,0.65170,-0.54785,-3.65774,11.22954,0.47032,-0.00743,5.44671,11.03145,0.48102,0.03525,4.76746,5.48499,0.63661,0.67876,-3.31249
2.04,8.94811,0.51944,-0.62979,2.82485,5.30739,0.62426,-0.67704,-2.20436,11.20222,0.47224,0.19818,5.52902,10.80604,0.48651,0.24315,4.50227,4.48089,0.65774,0.50307,-4.05063
2.08,9.89074,0.49529,-0.47791,3.97057,6.34565,0.59462,-0.72525,-0.65212,10.79238,0.48294,0.45752,4.92877,10.25276,0.50160,0.41846,3.63935,3.68853,0.67502,0.35138,-4.58855
2.12,10.67626,0.48020,-0.29384,4.61065,7.53418,0.56472,-0.72049,0.73179,10.04101,0.51148,0.64598,3.10354,9.51506,0.52218,0.53832,2.56602,3.29919,0.68820,0.14616,-5.23141
2.16,11.05195,0.47142,-0.09433,4.82952,8.74320,0.53535,-0.66123,1.97027,9.11888,0.54002,0.70296,1.27315,8.53828,0.54496,0.62883,1.33045,3.16941,0.68765,-0.08346,-5.45373
2.20,11.18173,0.47334,0.09433,4.88246,9.67899,0.51093,-0.56595,3.22105,8.01915,0.56883,0.71344,0.17004,7.47953,0.57487,0.65723,0.28477,3.38799,0.68079,-0.30165,-5.27164
2.24,11.01096,0.47800,0.29936,4.74827,10.52599,0.48761,-0.40360,4.41480,6.83745,0.59709,0.70696,-0.68402,6.44811,0.60094,0.59472,1.46807,4.03690,0.66432,-0.52670,-4.43214
2.28,10.38255,0.49721,0.49945,3.97057,11.07244,0.47718,-0.19570,5.14341,5.74455,0.62591,0.67609,-1.92620,5.43034,0.61987,0.56004,10.03659,4.85657,0.63633,-0.68581,-2.82763
2.32,9.62435,0.52081,0.62979,2.77298,11.18856,0.47197,0.02001,5.43679,4.74045,0.65335,0.57605,-3.65007,4.61750,0.65115,1.07035,21.52510,5.90166,0.60615,-0.75479,-1.09940
2.36,8.64074,0.54825,0.72525,1.35797,11.09293,0.47746,0.26087,5.08744,3.98225,0.67585,0.37787,-5.12303,4.05056,0.65499,2.20244,26.35383,7.12434,0.57432,-0.76470,0.44225
2.40,7.48636,0.58063,0.75670,-0.43934,10.62845,0.49474,0.45238,4.06810,3.53143,0.68627,0.11414,-5.36348,3.68853,0.65911,6.16523,-29.89023,8.27871,0.54304,-0.71325,1.79268
2.44,6.40029,0.61301,0.68314,-2.04186,9.78145,0.51587,0.58596,2.93204,3.34017,0.68134,-0.08022,-4.82622,3.69537,1.62555,0.16026,-88.40918,9.32380,0.51587,-0.61511,2.94329
2.48,5.34155,0.63661,0.56157,-2.93244,8.89347,0.54221,0.68600,1.73922,3.55192,0.67859,-0.24410,-4.68079,3.97542,0.68380,-6.11035,-34.97806,10.25959,0.49255,-0.47582,3.99373
2.52,4.42624,0.65664,0.45047,-3.75593,7.78008,0.57212,0.73859,0.25632,4.07105,0.66515,-0.46400,-4.23655,4.45356,0.66487,-2.56011,22.32795,10.89484,0.47608,-0.28755,4.81788
2.56,3.85247,0.67557,0.27002,-4.66941,6.58472,0.60450,0.70639,-1.23967,4.81559,0.63908,-0.62388,-2.87501,5.23909,0.63002,-1.47090,22.06567,11.21588,0.46950,-0.08480,5.39180
2.60,3.48362,0.67941,0.05660,-5.07142,5.56696,0.62975,0.62960,-2.52407,5.82652,0.61164,-0.69438,-1.39291,6.12707,0.58941,-0.77423,13.27749,11.15441,0.46785,0.15283,5.52889
2.64,3.48362,0.67941,-0.14825,-5.05105,4.59018,0.65609,0.50707,-3.78094,6.92625,0.58283,-0.72602,-0.04539,7.11068,0.56499,-0.63417,4.83548,10.79921,0.48047,0.40150,4.56989
2.68,3.85930,0.66844,-0.36644,-4.42539,3.90028,0.67283,0.31861,-4.72842,8.01915,0.55182,-0.70105,1.34156,8.14210,0.54304,-0.56671,2.53108,10.18446,0.50407,0.55375,2.80805
2.72,4.41258,0.64813,-0.52612,-3.17857,3.51094,0.68243,0.10519,-5.05727,9.10522,0.52493,-0.61950,2.70562,9.05740,0.51971,-0.50154,2.58110,9.24183,0.52987,0.58520,1.84098
2.76,5.30056,0.62426,-0.62731,-1.76449,3.38116,0.68079,-0.10347,-4.88034,9.96588,0.50051,-0.48249,3.94093,9.84293,0.49996,-0.37273,3.42405,8.14210,0.54715,0.67476,1.42983
2.80,6.35248,0.59490,-0.64999,-0.67502,3.66804,0.67310,-0.28641,-4.52305,10.61479,0.48404,-0.28641,4.69164,10.40304,0.48980,-0.22428,4.23708,7.04237,0.58447,0.73974,0.18884
2.84,7.37707,0.57295,-0.66752,0.14345,4.24865,0.65856,-0.47372,-3.86325,11.02462,0.47773,-0.08423,4.84249,10.64211,0.48047,-0.03297,4.89688,5.87433,0.61081,0.70010,-1.40058
2.88,8.48363,0.54167,-0.67114,1.62052,4.95903,0.63386,-0.61931,-2.60995,11.01096,0.47828,0.10061,4.84792,10.65577,0.48514,0.19989,4.70924,4.87023,0.64045,0.63055,-3.14867
2.92,9.46724,0.51368,-0.54156,3.12908,6.05193,0.60615,-0.68886,-1.13804,10.71725,0.48432,0.31022,4.58141,10.37571,0.49913,0.37254,3.77207,4.09837,0.66460,0.46153,-5.00883
2.96,10.17763,0.49776,-0.38645,3.86312,7.13800,0.57734,-0.70563,0.26294,10.19129,0.50407,0.49240,3.66409,9.76779,0.51670,0.49659,2.81533,3.54509,0.68188,0.19075,-5.81221
3.00,10.73091,0.48267,-0.21800,4.23523,8.16259,0.54798,-0.66790,1.62832,9.30331,0.52602,0.61206,2.43210,9.02325,0.53920,0.59644,1.83304,3.31968,0.67887,-0.06517,-5.12899
3.04,10.93583,0.48102,-0.05488,4.67668,9.24866,0.52163,-0.56576,2.75829,8.30604,0.55374,0.69591,0.94312,8.08746,0.56609,0.64903,0.66972,3.43580,0.67201,-0.21895,-4.26765
3.08,10.75823,0.47746,0.13453,5.38280,10.06834,0.50270,-0.44438,3.73833,7.25412,0.58502,0.68962,-0.57630,7.08335,0.59216,0.65856,-0.74118,3.85247,0.66240,-0.38073,-3.85332
3.12,10.40987,0.48706,0.41522,5.01690,10.62162,0.48377,-0.26678,4.61462,6.12707,0.61054,0.63303,-1.72228,6.14756,0.62042,0.60940,-2.50885,4.59701,0.64210,-0.54118,-3.14920
3.16,9.71314,0.51368,0.61511,2.85185,10.98364,0.47965,-0.04516,4.77964,5.17761,0.63606,0.54842,-2.75565,5.28690,0.64594,0.43942,-3.74561,5.53280,0.61685,-0.64808,-2.06779
3.20,8.80467,0.54414,0.63455,0.79385,10.92216,0.48322,0.11853,4.72842,4.37843,0.65582,0.41941,-3.83400,4.57652,0.65582,0.25706,-3.75805,6.63936,0.58886,-0.70925,-0.80404
3.24,7.82106,0.56526,0.61283,0.09740,10.57380,0.48651,0.33138,4.52424,3.79099,0.67201,0.23229,-4.63354,4.13936,0.66350,0.13186,-3.54619,7.82106,0.55895,-0.72297,0.73840
3.28,6.70084,0.58969,0.64293,-0.50960,9.99320,0.51011,0.52193,3.33869,3.58608,0.67502,0.02230,-4.78652,3.93444,0.66624,0.00648,-3.95429,8.88664,0.52822,-0.65723,2.41344
3.32,5.70357,0.61905,0.61511,-1.94896,9.07790,0.53261,0.60959,1.84098,3.62023,0.67201,-0.15397,-4.70818,4.04373,0.66679,-0.17626,-4.46694,9.83610,0.50380,-0.51641,3.72867
3.36,4.84291,0.64347,0.48001,-3.27861,8.10112,0.56005,0.65322,0.61190,3.97542,0.66432,-0.35805,-4.38159,4.45356,0.65390,-0.39483,-3.95641,10.60113,0.48596,-0.34109,4.53827
3.40,4.12569,0.65746,0.32433,-3.98301,7.05603,0.58584,0.65456,-0.50166,4.65848,0.64264,-0.53546,-3.26498,5.06149,0.63139,-0.52593,-2.59778,11.01779,0.47554,-0.13625,4.84064
3.44,3.76367,0.66926,0.15988,-4.50082,5.92215,0.61356,0.61835,-1.66736,5.48499,0.61850,-0.63398,-1.72969,5.90166,0.60944,-0.59015,-1.38550,11.14757,0.47581,0.05469,4.82503
3.48,3.63389,0.67201,-0.04211,-4.73914,5.05466,0.63771,0.51850,-2.76517,6.50958,0.59023,-0.67495,-0.12968,6.85794,0.58392,-0.62845,-0.34591,10.93583,0.47938,0.25496,4.57399
3.52,3.79099,0.66569,-0.23972,-4.43452,4.27597,0.65582,0.38664,-3.61791,7.60931,0.56170,-0.63303,1.12931,7.78691,0.55758,-0.61988,0.69738,10.37571,0.49666,0.43713,3.86444
3.56,4.33061,0.65170,-0.40893,-3.73489,3.74318,0.66899,0.23286,-4.44735,8.60658,0.53865,-0.56443,1.86718,8.70904,0.53316,-0.57357,1.77058,9.61068,0.51587,0.57605,2.81916
3.60,5.04783,0.63222,-0.54823,-2.70787,3.61340,0.67694,0.02191,-4.95643,9.54238,0.51560,-0.46648,2.29196,9.50139,0.51038,-0.48249,2.93786,8.64074,0.54441,0.66656,1.59921
3.64,5.96996,0.60615,-0.63569,-1.40058,3.69537,0.67091,-0.19513,-4.67589,10.30058,0.50407,-0.40646,3.26115,10.07517,0.49282,-0.33862,4.04110,7.52734,0.57075,0.70315,0.35015
3.68,7.04920,0.57926,-0.66104,-0.04433,4.07105,0.65911,-0.36244,-4.01239,10.72408,0.47910,-0.24963,5.05766,10.45768,0.48157,-0.14654,4.73663,6.43445,0.60148,0.70487,-1.11541
3.72,8.06696,0.55182,-0.63665,1.25052,4.84974,0.64210,-0.51965,-3.13623,10.91533,0.47746,0.05355,5.56660,10.49184,0.48020,0.06746,4.68992,5.40302,0.63085,0.61073,-2.52632
3.76,9.06423,0.52657,-0.55814,2.44388,5.67625,0.61603,-0.62998,-1.82867,10.77872,0.48843,0.25744,4.57916,10.25276,0.48816,0.25268,3.99254,4.52870,0.65060,0.49259,-3.73701
3.80,9.91806,0.50572,-0.43447,3.44363,6.69401,0.58914,-0.66866,-0.39514,10.27326,0.50023,0.40684,3.60375,9.80194,0.50243,0.38702,3.18122,3.92761,0.67146,0.32356,-5.07751
3.84,10.42353,0.49090,-0.27726,4.23986,7.82789,0.56170,-0.66580,1.11832,9.61752,0.52026,0.54594,2.53240,9.08473,0.51944,0.50116,2.43805,3.57924,0.67969,0.07794,-5.98490
3.88,10.79921,0.48240,-0.08747,4.72565,8.77735,0.53261,-0.57719,2.50581,8.70221,0.54633,0.62121,1.23610,8.24456,0.54304,0.59148,1.47733,3.55875,0.67996,-0.21285,-5.45598
3.92,10.82654,0.48294,0.12234,4.61647,9.68582,0.51368,-0.43637,3.20530,7.65713,0.57185,0.64027,0.02647,7.31560,0.56883,0.62598,0.33718,3.85247,0.65829,-0.40417,-3.77366
3.96,10.46451,0.49337,0.30432,3.90295,10.35522,0.49913,-0.31327,3.65404,6.65302,0.59847,0.62235,-1.13778,6.34565,0.59435,0.61816,-0.85141,4.37843,0.64347,-0.48954,-2.48887
4.00,9.95905,0.50929,0.43409,3.07403,10.71042,0.48706,-0.15264,4.19897,5.63526,0.62399,0.54194,-2.12099,5.48499,0.61960,0.56328,-2.16122,5.18444,0.62069,-0.58577,-1.57592
4.04,9.17352,0.52795,0.55318,2.09042,10.88118,0.48596,0.03220,4.49155,4.79510,0.64182,0.44666,-2.95335,4.78143,0.64155,0.44609,-3.43040,6.17488,0.59490,-0.62921,-0.47917
4.08,8.16259,0.55539,0.61530,0.76474,10.64211,0.49008,0.21418,4.49367,4.19400,0.66076,0.31613,-3.93921,4.26914,0.65719,0.27554,-4.32363,7.18581,0.56828,-0.62255,0.54679
4.12,7.19947,0.57898,0.62045,-0.66761,10.08883,0.50215,0.40836,3.95628,3.78416,0.66981,0.12062,-4.60906,4.01640,0.66432,0.07927,-4.63619,8.25822,0.54359,-0.56995,1.27765
4.16,6.20220,0.60780,0.55318,-1.87102,9.43309,0.52383,0.56519,2.57369,3.73635,0.67008,-0.07508,-4.68886,4.04373,0.66295,-0.10747,-4.50823,9.22817,0.52356,-0.52193,2.04781
4.20,5.24592,0.62453,0.44285,-2.41834,8.45631,0.55154,0.61873,1.02477,3.99591,0.66350,-0.26468,-4.38370,4.32378,0.65609,-0.29422,-3.95257,9.98637,0.50023,-0.42704,3.25294
4.24,4.56285,0.64127,0.36282,-2.91074,7.42489,0.57459,0.62578,-0.10322,4.46039,0.64868,-0.44018,-3.61301,4.91805,0.63825,-0.44476,-2.86707,10.56014,0.48651,-0.25801,4.34639
4.28,4.05739,0.65691,0.21476,-3.49961,6.48909,0.60176,0.61016,-1.18475,5.21859,0.62673,-0.56862,-2.42151,5.65575,0.61767,-0.52346,-1.72585,10.83337,0.47883,-0.06022,4.92996
4.32,3.81149,0.65801,0.06326,-3.73304,5.43717,0.62536,0.53908,-2.37692,6.12024,0.60148,-0.64274,-1.00624,6.53690,0.59572,-0.57243,-0.75852,10.77189,0.48102,0.15721,4.88457
4.36,3.91395,0.65938,-0.04840,-4.56950,4.62433,0.64676,0.41522,-3.41888,7.09018,0.57267,-0.64370,0.26612,7.52051,0.57130,-0.59129,0.35200,10.42353,0.49227,0.35005,4.24410
4.40,4.22132,0.66185,-0.31651,-4.89516,4.12569,0.65993,0.25001,-4.04904,8.13527,0.54853,-0.60197,1.12454,8.44948,0.54633,-0.55242,1.60490,9.82243,0.51011,0.50897,3.21602
4.44,4.82925,0.63167,-0.52631,-3.25188,3.75001,0.66679,0.07775,-4.27850,9.05740,0.52493,-0.55261,2.00401,9.26915,0.52493,-0.45295,2.61538,8.97544,0.53481,0.61340,1.98495
4.48,5.61477,0.61274,-0.57605,-1.45259,3.77050,0.66624,-0.09852,-4.26156,9.80194,0.50380,-0.47201,3.51085,9.93855,0.50956,-0.32947,3.27028,8.03964,0.56087,0.66675,0.71974
4.52,6.48909,0.58639,-0.61511,-0.17481,4.07788,0.65883,-0.27040,-3.98248,10.40304,0.48267,-0.28126,5.13177,10.34156,0.49804,-0.18636,3.73833,6.99456,0.58941,0.67209,-0.59588
4.56,7.51368,0.56115,-0.58348,0.84374,4.57652,0.64429,-0.42837,-3.37032,10.64894,0.47828,-0.01391,5.59095,10.51916,0.49419,-0.02763,4.05182,5.99045,0.61603,0.62941,-2.10048
4.60,8.46997,0.53947,-0.54003,1.63917,5.39619,0.62344,-0.55299,-2.38618,10.62162,0.48404,0.20561,4.96252,10.41670,0.49529,0.14425,4.09853,5.09564,0.64319,0.49697,-3.40168
4.64,9.28281,0.51697,-0.46019,2.59830,6.29100,0.59819,-0.62388,-1.19679,10.33473,0.49584,0.39026,3.94106,10.00003,0.50517,0.32261,3.53282,4.39892,0.65636,0.33633,-4.15213
4.68,9.99320,0.50105,-0.33462,3.56379,7.26778,0.57267,-0.65608,0.20829,9.72681,0.51642,0.52974,2.63668,9.41943,0.52301,0.44990,2.36884,3.96176,0.67063,0.15607,-4.56963
4.72,10.38938,0.48871,-0.16674,4.27996,8.32653,0.54331,-0.61797,1.83661,8.97544,0.54057,0.60349,1.28294,8.61341,0.54359,0.51145,1.14691,3.81149,0.66981,-0.04592,-4.50452
4.76,10.55331,0.48679,0.02744,4.46297,9.16669,0.52026,-0.49716,3.14747,8.06696,0.56636,0.62445,0.11777,7.69811,0.56499,0.53279,0.10428,3.92761,0.66542,-0.21285,-4.16126
4.80,10.48500,0.49172,0.20485,4.20043,9.90440,0.50298,-0.34910,3.96633,7.02188,0.59161,0.60730,-0.88648,6.81013,0.58722,0.51831,-0.86716,4.37160,0.65307,-0.38111,-3.67216
4.84,10.04784,0.50352,0.36949,3.67468,10.45768,0.49090,-0.16293,4.27268,6.12024,0.61630,0.54956,-1.79400,5.91532,0.60780,0.46267,-1.77243,5.04783,0.63386,-0.51698,-2.85913
4.88,9.41260,0.52191,0.50993,2.79998,10.60113,0.49063,0.00915,4.11229,5.24592,0.63606,0.46610,-2.73566,5.14346,0.62536,0.37273,-2.54352,5.88800,0.61081,-0.62007,-1.72969
4.92,8.63391,0.54578,0.60559,1.57208,10.57380,0.49227,0.16597,3.87476,4.52870,0.65499,0.33938,-3.78412,4.59018,0.63880,0.24848,-3.02150,6.87844,0.58283,-0.67228,-0.20485
4.96,7.68445,0.57212,0.64465,0.08826,10.26642,0.50380,0.32109,3.51972,4.13253,0.66597,0.14616,-4.35247,4.22132,0.64511,0.12234,-3.24924,7.87571,0.55346,-0.63417,1.27527
5.00,6.74182,0.59956,0.61511,-1.42771,9.56287,0.51862,0.45390,2.96076,3.94810,0.66624,-0.03983,-4.15729,4.13253,0.64896,-0.01429,-3.36860,8.81833,0.53069,-0.54670,2.25107
5.04,5.84701,0.62371,0.51926,-2.63284,8.79784,0.54029,0.57262,2.03524,4.01640,0.66130,-0.19418,-3.70366,4.31695,0.64374,-0.14825,-3.40009,9.63801,0.51066,-0.46000,3.25188
