T,M5 F1,M5 P1,M5 V1,M5 A1,M5 F2,M5 P2,M5 V2,M5 A2,M5 F3,M5 P3,M5 V3,M5 A3,M5 F4,M5 P4,M5 V4,M5 A4,M5 F5,M5 P5,M5 V5,M5 A5
0.04,11.68719,0.45084,-0.00229,0.24185,11.80331,0.45880,-0.01258,-0.12841,11.85796,0.45194,0.00762,-0.07773,10.79921,0.46758,-0.02515,1.28408,11.79648,0.45139,0.62235,0.92028
0.08,11.71452,0.45056,0.00457,0.41319,11.81015,0.45852,-0.01887,-0.04289,11.86479,0.45249,0.00238,0.00111,10.76506,0.46456,0.02687,1.04189,11.25003,0.47554,0.65532,1.11648
0.12,11.71452,0.45056,0.01726,1.16318,11.81698,0.45770,-0.02504,0.13323,11.86479,0.45194,0.00354,0.12342,10.76506,0.46648,0.10587,0.19318,10.43719,0.50325,0.68760,1.45577
0.16,11.72135,0.45249,0.05145,3.02290,11.83747,0.45550,-0.01105,0.33143,11.86479,0.45249,0.01105,0.30014,10.73774,0.47993,0.03811,-0.57304,9.28965,0.52657,0.79252,1.32402
0.20,11.75550,0.45249,0.13377,8.39029,11.81015,0.45605,0.01696,0.18463,11.86479,0.45276,0.02401,0.63051,10.73774,0.46703,0.02020,-0.50958,7.95084,0.56883,0.84893,-0.08260
0.24,11.72135,0.45303,0.70182,11.96099,11.81698,0.45825,0.01486,-0.19183,11.85113,0.45413,0.04974,1.30655,10.75140,0.48075,0.00896,-0.60218,6.63253,0.60011,0.77385,-1.37311
0.28,11.72818,0.50023,1.21041,9.25637,11.80331,0.45852,-0.01448,-0.22364,11.77599,0.45550,0.11357,2.39637,10.75140,0.46895,-0.02553,-0.59734,5.28690,0.62865,0.72144,-2.36633
0.32,11.72818,0.48926,2.65387,-17.71518,11.76233,0.45578,-0.01791,0.07953,11.62572,0.46154,0.23210,3.66912,10.81287,0.47883,-0.05031,-0.33559,4.15302,0.65993,0.60292,-3.68619
0.36,11.69402,0.92116,-0.25592,-40.71564,11.76233,0.45605,0.00229,0.18923,11.27053,0.47169,0.41579,4.54885,10.84703,0.46538,-0.08442,0.53911,3.33334,0.67914,0.42646,-4.92414
0.40,11.68719,0.46346,-3.01878,-11.23775,11.75550,0.45688,0.00591,0.10295,10.53282,0.49255,0.64522,4.08914,10.88118,0.46538,0.02515,0.68163,2.74591,0.69615,0.19075,-5.69536
0.44,11.64621,0.45441,-1.01738,17.63433,11.72818,0.45660,0.00743,0.06087,9.49456,0.52602,0.80110,2.18093,10.95632,0.47279,0.01829,-0.22959,2.61613,0.69451,-0.05507,-5.76166
0.48,11.53009,0.45413,-0.19151,17.09085,11.74867,0.45742,0.00724,0.14808,8.33336,0.56225,0.81939,0.16250,11.02462,0.46868,-0.02534,-0.51847,2.84837,0.69066,-0.27783,-5.48549
0.52,11.31151,0.45935,0.41732,10.90639,11.73501,0.45715,0.01201,0.51079,7.02188,0.59353,0.77232,-1.01259,11.08610,0.46895,-0.04326,-0.35345,3.44946,0.67283,-0.50383,-4.83151
0.56,10.77189,0.49365,0.58215,4.61489,11.70769,0.45825,0.02858,1.42189,5.71723,0.62234,0.73554,-2.04318,11.15441,0.46483,-0.04993,-0.13379,4.41258,0.64896,-0.68581,-3.59621
0.60,9.80877,0.51038,0.63989,2.48807,11.65987,0.45742,0.10633,2.79971,4.66531,0.65472,0.63779,-3.60547,11.20905,0.46511,-0.05183,0.06339,5.58062,0.61575,-0.80414,-1.97794
0.64,8.78418,0.54084,0.75174,1.46331,11.46178,0.46428,0.25268,4.07524,3.71586,0.67777,0.43161,-4.83786,11.25686,0.46072,-0.05221,0.37820,6.90576,0.58228,-0.84759,-0.21477
0.68,7.55467,0.57322,0.79519,-0.05955,11.03828,0.47471,0.46972,4.34837,3.12159,0.68792,0.23305,-5.58712,11.27053,0.45935,-0.01658,0.53766,8.29237,0.54578,-0.82149,1.54707
0.72,6.22953,0.60917,0.73135,-1.34421,10.22544,0.50352,0.64884,3.34002,2.91667,0.69862,-0.01925,-6.03069,11.30468,0.45989,0.00648,0.32514,9.52189,0.51395,-0.71706,3.11969
0.76,5.14346,0.62975,0.67914,-2.50263,9.15303,0.52959,0.74907,1.87485,3.01230,0.68737,-0.28717,-5.49541,11.34566,0.46044,0.01486,0.00066,10.58063,0.48706,-0.56328,4.41242
0.80,4.15302,0.66569,0.56214,-4.20096,7.98500,0.56499,0.79652,0.36285,3.50411,0.67228,-0.47734,-4.43227,11.34566,0.46236,-0.00400,-0.08853,11.39348,0.46703,-0.35539,5.38981
0.84,3.38116,0.68024,0.31747,-5.25616,6.65986,0.59572,0.77023,-0.98970,4.31012,0.64841,-0.63760,-3.32149,11.33200,0.45962,-0.01124,0.20432,11.77599,0.45742,-0.11224,5.79170
0.88,3.06695,0.68902,0.10404,-5.39325,5.45084,0.62673,0.72182,-2.39002,5.32788,0.61987,-0.74698,-2.06448,11.34566,0.45907,0.02706,0.18910,11.83747,0.45852,0.12348,5.68914
0.92,3.01230,0.68874,-0.11719,-5.27852,4.44673,0.65691,0.58291,-3.80820,6.55057,0.58749,-0.81234,-0.61811,11.34566,0.46346,0.02916,-0.29351,11.46861,0.46703,0.35882,5.09643
0.96,3.31285,0.67941,-0.32566,-4.87452,3.57924,0.67502,0.39445,-4.66782,7.82789,0.55182,-0.79995,0.95145,11.29785,0.46428,-0.02172,-0.25394,10.71042,0.48898,0.54689,4.05354
1.00,4.03007,0.66185,-0.51183,-4.25296,3.08061,0.68820,0.19951,-5.20825,9.02325,0.52136,-0.71954,2.27979,11.27053,0.45907,-0.02325,0.46779,9.73364,0.51258,0.68276,2.91166
1.04,4.93854,0.63853,-0.68371,-3.11770,3.01230,0.69231,-0.02877,-5.47768,10.12981,0.49612,-0.64484,4.11971,11.23637,0.45907,0.04840,0.63571,8.55877,0.54414,0.78776,1.53199
1.08,6.08608,0.60478,-0.78680,-1.34752,3.10793,0.68545,-0.24906,-5.38042,10.90850,0.46291,-0.40912,6.14859,11.18856,0.46785,0.03068,0.81317,7.19947,0.57816,0.81653,-0.08337
1.12,7.37707,0.57185,-0.78890,0.43378,3.72269,0.67283,-0.47315,-4.80888,11.36615,0.45880,-0.06974,6.24612,11.12025,0.45935,0.06498,2.05496,5.92215,0.61191,0.77537,-1.54363
1.16,8.55877,0.54057,-0.74221,2.00057,4.65165,0.64676,-0.66504,-3.40486,11.57107,0.46401,0.13568,5.19145,10.95632,0.46895,0.19913,3.27187,4.75411,0.64237,0.67552,-2.69371
1.20,9.70631,0.51038,-0.62826,3.45104,5.65575,0.61603,-0.76032,-1.56626,11.30468,0.47060,0.31251,4.61608,10.59429,0.47636,0.33290,4.21075,3.79099,0.66542,0.56004,-3.91102
1.24,10.61479,0.48816,-0.45486,4.53125,6.93308,0.58392,-0.78680,0.22205,10.70358,0.48761,0.49964,4.08609,9.95905,0.49090,0.56633,4.17436,3.16941,0.68737,0.41217,-6.02341
