T,M4 F1,M4 P1,M4 V1,M4 A1,M4 F2,M4 P2,M4 V2,M4 A2,M4 F3,M4 P3,M4 V3,M4 A3,M4 F4,M4 P4,M4 V4,M4 A4,M4 F5,M4 P5,M4 V5,M4 A5
0.04,11.93993,0.45331,0.04192,-0.06659,11.93310,0.44645,0.00076,0.05746,11.92627,0.44672,-0.00191,0.11166,12.14485,0.44672,0.02973,0.34289,4.33061,0.65005,-0.78280,-0.73920
0.08,11.88528,0.45550,0.03297,0.10788,11.92627,0.44645,0.00238,0.07871,11.92627,0.44645,0.00333,0.08783,12.13802,0.44755,0.04230,0.36554,5.60111,0.62097,-0.83158,0.08396
0.12,11.81698,0.45468,0.04722,0.30656,11.91944,0.44645,0.00652,0.10754,11.91260,0.44700,0.00606,0.06030,12.07654,0.44947,0.05968,0.35832,6.78281,0.58283,-0.83178,1.50023
0.16,11.73501,0.45962,0.05869,0.55563,11.91260,0.44700,0.01029,0.18086,11.89894,0.44700,0.00743,0.04781,11.96725,0.45249,0.07355,0.29115,8.30604,0.54990,-0.72907,3.28470
0.20,11.66670,0.45989,0.06898,1.43110,11.89894,0.44727,0.01639,0.43787,11.88528,0.44755,0.00972,0.03905,11.86479,0.45550,0.08404,0.18876,9.29648,0.52218,-0.55166,4.76826
0.24,11.61889,0.46264,0.14921,2.89594,11.87845,0.44810,0.03144,1.15919,11.85796,0.44782,0.01067,0.03549,11.73501,0.45935,0.08956,0.06746,10.00003,0.50462,-0.32928,5.72037
0.28,11.47544,0.46950,0.29746,4.39204,11.85113,0.44892,0.08518,2.53254,11.83747,0.44837,0.01201,0.07172,11.58473,0.46291,0.08804,0.01442,10.58063,0.49502,-0.08080,6.19689
0.32,11.03828,0.48322,0.52841,5.12436,11.76916,0.45276,0.20656,4.46707,11.82381,0.44892,0.01258,0.23700,11.46861,0.46648,0.08499,0.18129,10.41670,0.49749,0.18370,6.12133
0.36,10.01369,0.51230,0.75193,4.62812,11.52326,0.45962,0.46781,5.69880,11.81698,0.44919,0.02115,0.67435,11.33883,0.46977,0.08651,0.84136,10.00003,0.51038,0.42951,5.41548
0.40,8.65440,0.54551,0.92153,3.28894,10.88118,0.49063,0.72678,5.29586,11.80331,0.44947,0.05926,1.38007,11.25003,0.47224,0.12805,2.14296,9.29648,0.53316,0.63417,4.14524
0.44,7.13800,0.58694,1.04081,1.12203,9.59019,0.52081,0.91924,3.90242,11.77599,0.45331,0.12291,2.43051,11.14757,0.47746,0.24334,3.76334,8.00549,0.56279,0.77994,2.33576
0.48,5.43717,0.63249,1.04558,-1.86387,8.08063,0.56526,1.05358,1.88928,11.68719,0.45852,0.22886,4.04401,10.77189,0.48843,0.44762,4.80888,6.86477,0.59874,0.83254,0.22840
0.52,3.87979,0.67694,0.88208,-4.63063,6.42078,0.60725,1.10732,-0.93875,11.39348,0.46785,0.43466,5.70290,9.98637,0.51230,0.67457,4.55520,5.58062,0.63277,0.78795,-1.66339
0.56,2.62296,0.70521,0.63722,-6.44925,4.57652,0.66185,0.96631,-3.50278,10.58063,0.48843,0.74564,5.78376,8.77052,0.54359,0.86398,2.92040,4.18034,0.66322,0.68657,-3.23045
0.60,1.50957,0.72881,0.34948,-7.61838,3.14208,0.68518,0.77709,-4.96358,9.20768,0.53096,0.97965,3.77022,7.34975,0.58667,0.92248,0.76235,3.36750,0.68929,0.52917,-4.68092
0.64,0.01366,0.73567,0.00267,-7.94312,1.85110,0.72277,0.58691,-6.62194,7.70494,0.57322,1.05015,1.36327,5.87433,0.61960,0.90285,-1.04567,2.58197,0.70795,0.30489,-5.83537
0.68,1.78962,0.72826,-0.32394,-7.21478,-0.01366,0.73841,0.24734,-8.05282,6.00412,0.61493,1.08274,-1.04184,4.36477,0.65883,0.85178,-3.08131,2.11749,0.71509,0.04002,-6.33716
0.72,1.51640,0.70768,-0.59587,-5.80533,0.00683,0.74253,-0.09947,-8.34461,4.27597,0.66487,0.97317,-3.53348,3.12159,0.69313,0.66390,-5.16670,2.39755,0.71124,-0.22905,-6.04934
0.76,3.59974,0.67832,-0.79595,-4.05579,1.75547,0.73128,-0.46324,-7.42108,2.86886,0.69506,0.78738,-5.67128,2.18580,0.71426,0.40531,-6.43099,2.74591,0.69560,-0.46572,-5.07791
0.80,4.96586,0.64210,-0.92896,-2.02479,2.38389,0.70192,-0.73135,-5.41998,1.62569,0.73045,0.51507,-7.55341,1.55055,0.72551,0.12901,-7.03282,3.53143,0.67228,-0.64884,-3.64173
0.84,5.57379,0.60094,-0.96726,0.25487,2.67760,0.66871,-0.88913,-3.41253,0.02049,0.73951,0.15492,-8.52829,1.32514,0.72606,-0.17779,-6.94509,4.78143,0.64182,-0.76908,-1.84865
0.88,8.39483,0.56170,-0.90990,2.54617,5.65575,0.63030,-1.00308,-1.35427,0.58743,0.74308,-0.21018,-8.27739,2.17897,0.71015,-0.45505,-6.05159,5.84701,0.60780,-0.80186,0.09051
0.92,9.28965,0.52493,-0.75574,4.58604,5.88116,0.58502,-1.01357,1.03641,2.02186,0.72195,-0.55204,-6.79926,2.97132,0.68737,-0.67076,-4.75463,7.20631,0.57514,-0.75536,1.87737
0.96,9.74047,0.49858,-0.52098,6.01335,8.81150,0.54551,-0.91695,3.35193,1.70082,0.69368,-0.76203,-4.91342,4.20766,0.65609,-0.85236,-2.93826,8.44948,0.54551,-0.64503,3.44376
1.00,11.65987,0.48267,-0.25706,6.87138,10.21178,0.50929,-0.73669,5.40834,4.78143,0.66076,-0.93811,-3.02507,5.67625,0.61548,-0.92820,-0.57193,9.26232,0.52136,-0.47029,4.68701
1.04,11.04512,0.47663,0.04402,7.18249,9.69265,0.48377,-0.47143,6.99418,5.87433,0.61630,-1.03014,-0.55010,7.03554,0.57789,-0.89066,1.66074,10.06834,0.50654,-0.25325,5.43494
1.08,10.49867,0.48624,0.34205,6.75334,12.40441,0.46950,-0.14921,7.75429,6.27051,0.57322,-0.98593,1.99898,8.55877,0.54249,-0.78509,3.61341,10.32107,0.50078,-0.02153,5.71931
1.12,10.81970,0.50517,0.60654,5.61887,11.66670,0.47169,0.18217,7.56201,9.52872,0.53481,-0.85159,4.10277,9.70631,0.51203,-0.59091,5.20693,10.05468,0.50435,0.21990,5.49766
1.16,8.64757,0.53645,0.81253,3.83784,9.89757,0.48569,0.47334,6.73402,10.18446,0.50298,-0.64503,5.77569,10.40987,0.49392,-0.35158,6.31070,9.73364,0.51916,0.43733,4.71294
1.20,7.46587,0.57295,0.93239,1.54668,11.22271,0.51011,0.73669,5.33423,10.10932,0.48075,-0.36968,6.85113,10.98364,0.48294,-0.07660,7.03984,8.77735,0.54084,0.60959,3.52343
1.24,6.61887,0.61520,0.93468,-0.76685,8.73636,0.54688,0.92534,3.22833,12.06971,0.47334,-0.07965,7.37132,10.84020,0.48651,0.22600,7.29484,7.62297,0.56965,0.72811,2.01685
1.28,4.05739,0.64978,0.85998,-2.81453,6.41395,0.58749,1.01128,0.70955,11.17490,0.47361,0.23076,7.42452,10.23227,0.50133,0.53470,6.60090,6.60521,0.60121,0.77728,0.28120
1.32,3.49728,0.68627,0.70963,-4.73980,6.54373,0.63222,0.97679,-1.76661,10.05468,0.49118,0.54423,6.62988,9.50823,0.53096,0.77728,4.93711,5.21176,0.63359,0.76298,-1.74107
1.36,2.56831,0.71015,0.46267,-6.12464,3.87979,0.66816,0.84931,-3.82911,10.10249,0.51971,0.79138,4.99785,8.16942,0.56087,1.02538,1.17020,4.07105,0.66624,0.63798,-3.71623
1.40,1.18170,0.72359,0.19418,-6.78788,2.34290,0.69972,0.69419,-6.19808,8.02598,0.55786,0.94820,2.99331,6.74865,0.63002,0.88627,-2.77735,3.31968,0.68682,0.44323,-5.08373
1.44,1.87842,0.72634,-0.09566,-6.89626,2.34290,0.73210,0.34395,-8.07823,6.48226,0.59600,1.04825,0.49478,5.43717,0.63578,0.63588,-3.06794,2.57514,0.70274,0.21075,-5.80520
1.48,1.42077,0.71591,-0.37882,-6.33015,0.00683,0.72853,-0.04326,-7.75389,5.31422,0.64566,1.02900,-2.71079,4.00274,0.66816,0.62655,-2.82221,2.42487,0.70466,-0.04592,-5.77966
1.52,2.98498,0.69478,-0.62426,-5.10186,1.63935,0.72277,-0.30565,-6.50363,3.06012,0.68902,0.77499,-4.76296,2.97132,0.69176,0.49297,-4.13942,2.67077,0.69780,-0.27154,-5.15453
1.56,3.85247,0.66377,-0.80319,-3.35100,1.90574,0.70438,-0.55395,-5.23790,3.12842,0.70246,0.57872,-5.34191,2.26776,0.71070,0.29422,-5.53326,3.06012,0.68188,-0.46553,-4.22451
1.60,4.91122,0.62810,-0.90323,-1.24907,3.16941,0.67585,-0.72545,-3.89369,1.02459,0.73045,0.45562,-7.74397,1.76230,0.71728,0.02382,-6.32393,4.04373,0.65938,-0.61778,-3.00403
1.64,7.06969,0.58859,-0.91047,1.04342,4.59018,0.64566,-0.86665,-2.42217,1.71448,0.75926,-0.08003,-9.04133,2.06968,0.71262,-0.24734,-6.07833,5.08198,0.63085,-0.71725,-1.46212
1.68,7.88937,0.55182,-0.81539,3.20530,5.43717,0.60533,-0.95030,-0.20114,2.00820,0.71564,-0.44266,-6.60976,2.54099,0.69643,-0.48801,-5.06812,6.18171,0.59956,-0.74240,0.29616
1.72,9.10522,0.52081,-0.63855,4.92983,7.60931,0.56472,-0.90190,2.41357,1.95356,0.71070,-0.54061,-5.22294,3.44263,0.67118,-0.66294,-3.65973,7.56150,0.56911,-0.69362,2.05403
1.76,10.60113,0.49913,-0.40626,6.15203,8.92762,0.52849,-0.72602,4.30550,3.86613,0.68243,-0.80205,-4.72260,4.75411,0.64182,-0.78185,-2.11424,8.50412,0.54167,-0.57110,3.60018
1.80,10.52599,0.48651,-0.12577,6.72370,9.32380,0.50654,-0.52460,5.37089,4.94537,0.64621,-1.02119,-2.16109,5.97679,0.60725,-0.84645,-0.21861,9.32380,0.52163,-0.39178,4.73041
1.84,10.75140,0.48898,0.15950,6.50774,11.07927,0.48596,-0.29460,6.23844,5.85384,0.58996,-1.00747,1.17642,7.37024,0.57020,-0.80434,1.80472,10.00003,0.50929,-0.17817,5.38836
1.88,10.81970,0.50078,0.40874,5.79262,11.06561,0.48185,-0.02954,6.99220,8.01232,0.56170,-0.86093,3.24910,8.70904,0.54084,-0.69134,3.58311,9.97271,0.50654,0.05774,5.47993
1.92,9.36478,0.52218,0.63303,4.66941,10.26642,0.48130,0.28393,7.12810,8.92762,0.52438,-0.74488,5.01201,9.58336,0.51313,-0.51526,5.19198,9.82243,0.51450,0.27897,5.00341
1.96,8.57926,0.55292,0.80414,2.94382,10.58063,0.50435,0.59606,5.88089,9.87708,0.49474,-0.46038,6.47068,10.36888,0.49666,-0.25992,6.26835,9.35112,0.52987,0.46972,4.11865
2.00,7.47270,0.58969,0.88361,0.80179,9.12571,0.53453,0.77404,4.00101,10.94266,0.48733,-0.16902,6.57073,10.62845,0.49172,0.01658,6.48379,8.30604,0.55319,0.62121,2.83372
2.04,5.46450,0.62673,0.86722,-1.35916,7.49319,0.56718,0.90361,2.27714,10.38938,0.48404,0.07584,6.32499,10.37571,0.49831,0.28450,5.94335,7.34292,0.58173,0.70715,1.22816
2.08,4.63116,0.66158,0.76794,-3.32242,6.75548,0.60917,0.96345,0.30079,10.60113,0.49337,0.31728,6.29813,9.91806,0.51615,0.50802,4.87968,6.21587,0.61191,0.72430,-0.52959
2.12,3.27870,0.69066,0.59091,-4.93698,4.88389,0.64731,0.92534,-1.77177,9.95905,0.50764,0.58844,5.90537,8.90713,0.54084,0.67571,3.62942,4.94537,0.64210,0.66542,-2.28389
2.16,2.15164,0.71070,0.35653,-6.03174,3.55192,0.68188,0.87046,-4.80875,8.30604,0.54057,0.83997,4.25746,7.69811,0.57048,0.81329,1.94539,4.07788,0.66762,0.53260,-3.76824
2.20,2.23361,0.72030,0.08785,-6.49172,2.87569,0.72853,0.54442,-7.67396,7.79374,0.57953,0.96859,1.60358,6.52324,0.60917,0.85579,-0.30198,3.23088,0.68627,0.34853,-4.79380
