T,M2 F1,M2 P1,M2 V1,M2 A1,M2 F2,M2 P2,M2 V2,M2 A2,M2 F3,M2 P3,M2 V3,M2 A3,M2 F4,M2 P4,M2 V4,M2 A4,M2 F5,M2 P5,M2 V5,M2 A5
0.04,8.09429,0.55731,0.01029,0.26405,8.13527,0.55264,-0.00762,0.11772,8.44948,0.54551,0.00572,0.02684,8.89347,0.53508,-0.00572,0.02218,7.81423,0.56307,-0.01524,0.11137
0.08,8.11478,0.55758,0.01686,0.46423,8.16942,0.55182,0.00191,0.00872,8.43582,0.54578,0.00572,0.06229,8.91396,0.53481,-0.00457,0.02447,7.84155,0.56225,-0.00991,0.08018
0.12,8.08063,0.55813,0.03419,0.86437,8.17625,0.55374,-0.00617,-0.03835,8.43582,0.54578,0.00892,0.10957,8.89347,0.53481,-0.00503,0.04954,7.85521,0.56225,-0.00675,0.03875
0.16,8.04647,0.55978,0.06955,1.62566,8.17625,0.55127,-0.01296,0.16457,8.42216,0.54633,0.01544,0.14818,8.90713,0.53426,-0.00210,0.10687,7.84155,0.56197,-0.00858,0.03832
0.20,7.93035,0.56197,0.15454,2.64320,8.18308,0.55154,0.00629,0.41396,8.40850,0.54715,0.02039,0.22120,8.92762,0.53453,0.00400,0.15750,7.86888,0.56142,-0.00705,0.11674
0.24,7.62297,0.57020,0.29174,3.37609,8.18308,0.55209,0.02306,0.61592,8.38800,0.54798,0.02763,0.43367,8.91396,0.53453,0.01086,0.21906,7.86205,0.56115,0.00076,0.20093
0.28,7.11068,0.58502,0.44342,3.54685,8.13527,0.55292,0.05374,0.83130,8.33336,0.54880,0.05012,0.76553,8.90030,0.53535,0.02058,0.34379,7.85521,0.56142,0.01067,0.25434
0.32,6.37297,0.60560,0.59568,3.01316,8.03964,0.55593,0.09413,0.93200,8.27188,0.55127,0.09090,1.07108,8.87981,0.53645,0.02877,0.71644,7.85521,0.56197,0.02191,0.30714
0.36,5.36204,0.63332,0.71744,1.47892,7.88937,0.56060,0.13244,0.96654,8.16942,0.55593,0.13949,1.31113,8.80467,0.53645,0.06860,1.31536,7.80057,0.56334,0.03163,0.47030
0.40,4.11886,0.66569,0.75289,-1.09768,7.66396,0.56691,0.16597,1.14889,7.92352,0.56252,0.19113,1.64063,8.66123,0.54084,0.13796,1.84349,7.76642,0.56417,0.05126,0.87047
0.44,2.90984,0.69862,0.64389,-4.03025,7.41122,0.57350,0.21133,1.63984,7.56833,0.57020,0.26792,2.00930,8.44265,0.54715,0.22219,2.22262,7.71860,0.56664,0.09509,1.48064
