T,M2 F1,M2 P1,M2 V1,M2 A1,M2 F2,M2 P2,M2 V2,M2 A2,M2 F3,M2 P3,M2 V3,M2 A3,M2 F4,M2 P4,M2 V4,M2 A4,M2 F5,M2 P5,M2 V5,M2 A5
0.48,1.95356,0.72167,0.40512,-6.26848,7.16532,0.58228,0.29555,2.17723,7.13117,0.58337,0.36015,2.17008,8.04647,0.55840,0.31747,2.47788,7.56833,0.57130,0.16064,2.31393
0.52,-0.33470,0.73320,0.09642,-7.18262,6.63936,0.59682,0.39388,2.46505,6.57789,0.59929,0.44895,2.09294,7.43855,0.57185,0.42684,2.47471,7.28827,0.57761,0.27688,3.15727
0.56,0.86066,0.72936,-0.21495,-6.69790,6.00412,0.61328,0.50497,2.30480,5.82652,0.61932,0.53470,1.71566,6.69401,0.59216,0.53908,1.86599,6.83745,0.59188,0.43390,3.39282
0.60,2.02869,0.71454,-0.47849,-5.01889,5.19127,0.63716,0.60768,1.26667,4.96586,0.64237,0.60444,0.74528,5.89483,0.61740,0.59148,0.83712,6.13390,0.61274,0.57967,2.69596
0.64,3.12159,0.68765,-0.64236,-2.54326,4.12569,0.66405,0.64179,-0.71895,3.92078,0.66899,0.62445,-1.04461,5.02734,0.64100,0.59911,-0.14027,5.13663,0.63935,0.68467,0.98758
0.68,4.00274,0.65911,-0.68448,0.10825,3.16941,0.69231,0.56728,-3.12511,2.95083,0.69560,0.54613,-3.40525,4.10520,0.66569,0.58253,-1.25145,4.00957,0.67118,0.68352,-1.39966
0.72,5.21859,0.63030,-0.63264,2.68948,2.40438,0.71399,0.36796,-4.92321,2.24727,0.71783,0.33404,-5.26449,3.14208,0.68902,0.51564,-2.75975,2.93717,0.69807,0.56595,-3.64226
0.76,6.23636,0.60423,-0.45886,4.85692,1.80328,0.72250,0.13320,-5.61517,1.69399,0.72387,0.07146,-5.74737,2.41804,0.70932,0.37578,-4.50545,2.09017,0.71893,0.36815,-5.22413
0.80,6.84428,0.59078,-0.20542,5.94824,1.58470,0.72469,-0.10728,-5.43943,1.64618,0.72167,-0.15626,-5.25430,1.93990,0.72304,0.13529,-5.63872,1.14071,0.72908,0.12138,-6.00184
0.84,7.11068,0.58804,0.05297,5.99019,2.05602,0.71344,-0.32776,-4.44841,2.17897,0.71097,-0.36225,-4.18349,1.77596,0.72112,-0.13034,-5.35051,1.18170,0.72881,-0.13701,-5.95407
0.88,6.79647,0.59572,0.29422,5.28950,2.73908,0.69615,-0.48172,-2.87554,2.86203,0.69121,-0.51393,-2.46783,2.21995,0.70960,-0.32699,-4.06426,2.08334,0.71756,-0.37539,-5.14923
0.92,6.33882,0.61274,0.49392,3.94172,3.54509,0.67283,-0.56786,-0.96522,3.81149,0.66652,-0.57281,-0.38746,2.83471,0.69259,-0.45428,-2.57144,2.86203,0.69862,-0.58863,-3.24791
0.96,5.44400,0.63661,0.63817,1.81531,4.57652,0.64786,-0.56462,1.09755,4.80876,0.64237,-0.53832,1.57764,3.63389,0.67255,-0.53832,-0.87351,3.78416,0.66542,-0.66656,-0.51437
1.00,4.14619,0.66816,0.65875,-0.78869,5.49865,0.62481,-0.47467,2.98868,5.64209,0.62179,-0.44095,3.32083,4.63116,0.64676,-0.54042,1.15789,4.96586,0.64100,-0.61835,2.04331
1.04,3.30602,0.69368,0.55776,-3.01885,6.19537,0.60752,-0.31042,4.40991,6.36614,0.60395,-0.25858,4.59384,5.44400,0.62536,-0.43542,2.94607,5.83335,0.61411,-0.49106,4.19024
1.08,2.41121,0.71426,0.39293,-4.61899,6.63936,0.59847,-0.09985,5.13058,6.68718,0.60011,-0.04326,5.02802,6.12024,0.61109,-0.28774,4.26818,6.53690,0.59792,-0.26316,5.59625
1.12,1.55738,0.72606,0.18522,-5.87599,6.63253,0.59874,0.13015,4.96635,6.59838,0.60121,0.16178,4.82092,6.52324,0.60066,-0.08537,5.14222,6.96040,0.59106,0.01105,5.59942
1.16,1.21585,0.73265,-0.10195,-6.29773,6.33882,0.61027,0.32471,3.99095,6.27051,0.61274,0.36282,3.92121,6.47543,0.60231,0.15511,5.06388,6.72133,0.60231,0.21571,4.70090
1.20,1.96039,0.71756,-0.37825,-5.16406,5.71723,0.62673,0.46019,2.58878,5.49865,0.63194,0.50745,2.17776,6.22953,0.61383,0.37082,3.71253,6.38663,0.60999,0.37082,3.88323
1.24,2.66394,0.69780,-0.54080,-3.18426,4.77460,0.64841,0.54404,0.80258,4.58335,0.65719,0.54842,0.09197,5.59428,0.63743,0.46000,1.97199,5.60111,0.62975,0.54937,2.43541
1.28,3.46995,0.67283,-0.63855,-0.91295,3.87979,0.67338,0.53451,-1.22922,3.68853,0.67859,0.50192,-1.74305,4.67214,0.65115,0.50764,0.51635,4.46723,0.65883,0.60273,0.11288
1.32,4.61750,0.64292,-0.62235,1.51650,3.01913,0.69396,0.44095,-3.11360,2.82105,0.69862,0.40188,-3.32228,3.87296,0.67749,0.53527,-1.59762,3.60657,0.68161,0.55071,-2.12112
1.36,5.60111,0.61905,-0.49621,3.41266,2.28826,0.71124,0.26830,-4.49513,2.22678,0.71344,0.22676,-4.52053,3.03279,0.70164,0.38245,-3.63366,2.67077,0.70466,0.42589,-4.10740
1.40,6.31149,0.60258,-0.32871,4.70659,1.99454,0.71646,0.05812,-5.12528,1.91940,0.71810,0.01372,-4.95272,2.37022,0.70932,0.18636,-4.31648,1.90574,0.71948,0.20104,-5.39577
1.44,6.76915,0.59106,-0.11186,5.57918,1.94673,0.71673,-0.16979,-4.86724,1.95356,0.71426,-0.19608,-4.58683,2.13115,0.71454,0.01791,-4.37312,1.68716,0.72140,-0.04707,-5.53114
1.48,6.81013,0.59161,0.15054,5.50785,2.34290,0.70219,-0.37063,-3.55664,2.52050,0.70137,-0.37368,-3.54976,2.08334,0.71152,-0.16312,-4.18958,1.79645,0.71454,-0.26887,-4.78400
1.52,6.44811,0.60533,0.36110,4.49526,3.02596,0.68298,-0.46839,-1.79771,3.14892,0.68271,-0.49773,-1.94909,2.47951,0.70137,-0.33214,-3.51244,2.56148,0.69890,-0.45181,-3.32890
1.56,5.77871,0.62179,0.52651,2.88599,3.77050,0.66268,-0.49907,-0.27260,4.02324,0.65911,-0.54308,0.02726,3.11476,0.68435,-0.47296,-2.08275,3.06012,0.67557,-0.55185,-1.39555
1.60,4.82242,0.64978,0.61283,0.71551,4.72679,0.64264,-0.49430,1.31722,4.99318,0.63633,-0.49964,2.05178,3.87296,0.66021,-0.52212,-0.07146,4.17351,0.65170,-0.56176,0.55182
1.64,3.87979,0.67475,0.58672,-1.47839,5.51914,0.61987,-0.40112,2.98272,5.68991,0.61548,-0.35767,3.52250,4.78826,0.63853,-0.46286,1.63573,5.19127,0.62865,-0.50173,2.33523
1.68,2.96449,0.69972,0.46991,-2.96301,6.09291,0.60807,-0.23762,4.17171,6.27734,0.60725,-0.18770,4.20612,5.52597,0.62289,-0.37216,2.87884,5.77871,0.60917,-0.36853,3.86523
1.72,2.22678,0.71426,0.31251,-3.61275,6.50275,0.60039,-0.04764,4.75039,6.53690,0.60094,-0.01791,4.61952,6.05876,0.60752,-0.23686,4.05182,6.53690,0.59709,-0.17512,4.87187
1.76,1.92623,0.72332,0.16045,-3.89633,6.40029,0.60341,0.16235,4.63235,6.33199,0.60395,0.19170,4.60681,6.42761,0.60121,-0.03468,4.74973,6.68718,0.59462,0.04173,5.21765
1.80,1.79645,0.72222,0.08480,-5.69893,6.01095,0.61356,0.35691,3.57292,5.95630,0.61685,0.38187,3.69797,6.29783,0.60450,0.17626,4.52225,6.40029,0.60011,0.26411,4.80716
1.84,2.30192,0.74500,-0.29860,-7.05744,5.45767,0.63496,0.47239,1.84521,5.24592,0.63606,0.51926,1.91283,5.90166,0.61630,0.35786,3.39639,6.06559,0.61603,0.46381,3.36450
1.88,2.94400,0.69835,-0.66904,-4.12209,4.56968,0.65444,0.49849,0.16078,4.35111,0.66185,0.55718,-0.44794,5.36887,0.63551,0.46858,1.66538,5.10930,0.64100,0.56157,1.19230
1.92,3.77733,0.67448,-0.66047,-0.15827,3.73635,0.67585,0.47868,-1.35519,3.58608,0.68545,0.46400,-2.37215,4.48089,0.65691,0.49068,-0.12399,4.28280,0.66515,0.54499,-0.72226
1.96,4.80876,0.64566,-0.60292,2.29897,3.03963,0.69533,0.38626,-2.72653,2.78006,0.69917,0.34186,-3.59488,3.69537,0.67667,0.44704,-1.63825,3.49728,0.68545,0.48287,-2.11781
2.00,5.53280,0.62426,-0.45543,3.97401,2.41804,0.70795,0.24925,-3.77088,2.30192,0.71481,0.16407,-4.34056,3.03963,0.69396,0.35577,-2.94858,2.54099,0.70521,0.37177,-3.27557
2.04,6.20903,0.60752,-0.26773,4.89979,2.20629,0.71591,0.08499,-4.65445,2.17897,0.71289,-0.03049,-4.36452,2.44536,0.70768,0.19780,-3.82633,2.23361,0.71728,0.20847,-4.07379
2.08,6.59838,0.60121,-0.03735,5.06057,2.26776,0.71783,-0.14844,-4.78228,2.23361,0.71097,-0.19494,-3.99254,2.28143,0.71015,0.02534,-4.05288,2.04919,0.72195,0.03239,-4.52834
2.12,6.42761,0.60560,0.16750,4.37246,2.61613,0.70219,-0.33881,-3.78107,2.78006,0.69807,-0.36530,-3.10606,2.36339,0.70905,-0.13815,-3.85610,2.09017,0.71948,-0.14787,-4.90019
2.16,6.16805,0.61658,0.32128,3.31752,3.30602,0.68874,-0.46934,-2.14772,3.46995,0.67941,-0.46839,-1.55541,2.71859,0.69890,-0.28984,-3.31156,2.86886,0.71262,-0.37463,-4.62243
2.20,5.50548,0.63222,0.43713,2.02796,4.00957,0.66268,-0.53032,0.02104,4.18034,0.65801,-0.49678,0.24666,3.42897,0.68600,-0.42875,-2.07401,3.45629,0.69012,-0.59168,-2.51441
2.24,4.50821,0.65307,0.49868,0.34326,4.82925,0.64155,-0.46153,2.01976,5.07515,0.63743,-0.44876,2.05363,4.07788,0.66130,-0.48077,-0.18381,4.24182,0.65774,-0.62083,0.69103
2.28,3.75684,0.67502,0.47467,-1.56375,5.60794,0.62453,-0.34491,3.37217,5.73089,0.61960,-0.32547,3.57517,4.87023,0.64429,-0.43713,1.62607,5.24592,0.63469,-0.49392,2.99675
2.32,2.96449,0.69396,0.36472,-3.19710,5.98362,0.61191,-0.17017,4.08689,6.10658,0.60889,-0.13587,4.34837,5.58745,0.62536,-0.34586,3.20941,5.72406,0.61822,-0.33443,4.09218
2.36,2.34973,0.70631,0.19360,-4.12778,6.25002,0.61136,0.00343,4.13307,6.34565,0.60917,0.05259,4.26315,5.92215,0.61274,-0.15930,4.12976,6.26368,0.60752,-0.15321,4.55653
2.40,2.10383,0.70987,0.00572,-4.27069,6.20903,0.61274,0.16312,3.88680,6.09291,0.61411,0.21571,3.71411,6.17488,0.61274,0.02916,3.91393,6.45494,0.60478,0.04764,4.40541
2.44,2.14481,0.70548,-0.15816,-4.00537,5.71040,0.62261,0.34586,2.80712,5.64209,0.62618,0.36892,2.58348,6.10658,0.61767,0.16254,3.31977,6.06559,0.61191,0.22924,3.50596
2.48,2.61613,0.69725,-0.31575,-3.50119,5.17761,0.64484,0.41827,1.00756,5.02051,0.64649,0.44285,0.92936,5.58745,0.62536,0.29193,2.61802,5.76504,0.62646,0.33252,2.39412
2.52,3.25821,0.68079,-0.46781,-2.20118,4.41941,0.65938,0.40493,-0.40731,4.15302,0.66432,0.43980,-0.70334,5.04783,0.64182,0.38892,1.46278,4.96586,0.63908,0.40703,1.44597
2.56,3.96859,0.65636,-0.52555,-0.08284,3.59974,0.67694,0.37120,-1.50367,3.46312,0.68326,0.37844,-2.13925,4.33061,0.65856,0.42494,-0.10017,4.05056,0.65856,0.46953,-0.01548
2.60,4.93171,0.63441,-0.46743,1.94155,3.01913,0.69012,0.29841,-2.75392,2.84837,0.69615,0.26468,-3.35484,3.55192,0.67832,0.38588,-1.78990,3.50411,0.68051,0.42856,-1.94909
2.64,5.63526,0.61740,-0.34795,3.43873,2.52733,0.70438,0.14254,-3.72139,2.38389,0.70658,0.09528,-4.08728,3.00547,0.69204,0.26849,-3.08396,2.69126,0.69615,0.29879,-3.51668
2.68,6.03827,0.60560,-0.18427,4.53059,2.34290,0.70192,-0.03354,-3.83123,2.37705,0.70438,-0.09280,-3.98248,2.55465,0.70109,0.11605,-3.74031,2.28826,0.70603,0.11433,-4.23483
2.72,6.40029,0.60039,0.03106,4.98792,2.50684,0.69999,-0.17398,-3.51072,2.52733,0.69752,-0.24182,-3.27623,2.43170,0.70192,-0.05888,-3.65298,2.39072,0.70438,-0.05945,-4.25931
2.76,6.27051,0.60697,0.26563,4.15795,2.81421,0.68929,-0.33080,-2.65097,2.94400,0.68463,-0.36777,-2.14282,2.61613,0.69341,-0.17207,-3.41584,2.39072,0.70219,-0.24201,-3.72576
2.80,5.76504,0.62646,0.38816,2.62821,3.46312,0.67063,-0.40950,-1.17986,3.70220,0.66569,-0.42513,-0.67819,2.95766,0.69149,-0.34090,-2.79521,2.97132,0.68408,-0.39274,-2.33007
2.84,5.25958,0.63963,0.45771,1.34474,4.18034,0.65444,-0.42551,0.35835,4.36477,0.64841,-0.41713,0.72411,3.64072,0.66432,-0.45314,-0.87431,3.67487,0.66569,-0.42322,-0.90990
2.88,4.43307,0.66322,0.49964,-0.05095,4.82242,0.63469,-0.37921,1.85805,5.09564,0.63139,-0.36758,2.11795,4.34427,0.64841,-0.40455,0.97342,4.26231,0.65143,-0.45409,0.36854
2.92,3.63389,0.68216,0.46591,-1.63640,5.53963,0.62179,-0.26449,3.00443,5.73772,0.61658,-0.24791,3.40975,4.93854,0.63249,-0.34243,2.12549,5.15029,0.62783,-0.42608,2.28693
2.96,2.97815,0.70301,0.36339,-3.01250,5.93581,0.61328,-0.12958,3.77723,6.00412,0.60972,-0.07660,4.13770,5.61477,0.61987,-0.23400,3.09798,5.68308,0.61191,-0.26525,3.95363
3.00,2.43853,0.71399,0.19284,-3.66767,6.04510,0.60917,0.05583,3.96461,6.12707,0.60972,0.11357,4.00431,5.94947,0.61219,-0.08747,3.72470,6.01095,0.60560,-0.06803,4.55362
3.04,2.37022,0.71618,0.05259,-3.86246,5.99045,0.61822,0.22619,3.19961,5.90849,0.61987,0.27402,3.04148,5.98362,0.61164,0.08785,3.71451,6.28417,0.60642,0.13529,4.13228
3.08,2.41121,0.71756,-0.08156,-4.53800,5.57379,0.63085,0.31461,2.26761,5.38253,0.63441,0.36301,1.82113,5.90166,0.62042,0.23610,2.99979,5.87433,0.61877,0.27935,3.14126
3.12,2.76640,0.71618,-0.34224,-4.30801,4.98635,0.64347,0.39064,1.55925,4.84291,0.65005,0.41027,0.72792,5.44400,0.63277,0.32680,2.17061,5.44400,0.63002,0.38187,2.12777
3.16,3.51777,0.68627,-0.50955,-2.11636,4.35794,0.66185,0.45333,0.42716,4.07788,0.66789,0.42627,-0.50133,4.83608,0.64621,0.41198,1.17589,4.99318,0.64978,0.45657,0.92502
3.20,4.09837,0.66871,-0.51069,0.24746,3.61340,0.68106,0.46324,-1.54959,3.36750,0.68627,0.38149,-1.96888,4.21449,0.66762,0.43675,-0.22761,4.04373,0.66926,0.46515,-0.56445
3.24,4.78826,0.64511,-0.46896,2.14110,3.07378,0.70411,0.34148,-3.69612,2.92350,0.69999,0.26997,-3.26570,3.49045,0.68271,0.40855,-1.93731,3.46995,0.68792,0.41146,-1.98662
3.28,5.53280,0.62700,-0.31670,3.31395,2.69809,0.71289,0.10728,-4.38185,2.52050,0.71097,0.09018,-3.64297,3.01230,0.70438,0.27421,-3.40181,2.97132,0.70329,0.32156,-3.42247
3.32,5.86750,0.62014,-0.16712,3.53481,2.50001,0.70932,-0.06003,-3.77075,2.50001,0.71207,-0.10519,-2.38820,2.68443,0.70603,0.09699,-3.86682,2.43853,0.72551,0.05350,-2.84437
3.36,6.08608,0.61466,-0.03220,3.62770,2.71859,0.70631,-0.18808,-3.08025,2.64686,0.70370,-0.17174,-2.18433,2.54099,0.71070,-0.05507,-3.70022,2.49659,0.71714,-0.02182,-2.83358
3.40,6.05193,0.61713,0.11052,3.95363,3.06695,0.69368,-0.28907,-2.59870,2.79372,0.70370,-0.17174,-2.18433,2.82788,0.70192,-0.20713,-3.17421,2.55465,0.71714,-0.02182,-2.83358
3.44,5.58745,0.62316,0.28050,6.61969,3.57241,0.68518,-0.41675,-1.60411,3.15575,0.69533,-0.23829,-1.98046,3.18307,0.69286,-0.32090,-2.28124,2.70492,0.70878,-0.09714,-2.82278
3.48,5.06149,0.63743,0.46457,18.48468,4.31695,0.65719,-0.46057,0.35570,3.82515,0.67201,-0.41360,-1.58865,3.70220,0.67502,-0.39731,-1.11237,3.05329,0.71070,-0.31966,-3.84395
3.52,4.36477,0.65774,0.66714,68.37993,4.89072,0.64319,-0.37520,2.04411,4.50138,0.65280,-0.41017,0.39530,4.42624,0.65966,-0.42132,0.36735,3.77733,0.67832,-0.53422,-1.78127
3.56,3.64755,0.71207,4.08075,134.04617,5.42351,0.62700,-0.26506,2.94726,5.06832,0.63798,-0.34776,1.90046,4.95220,0.63908,-0.37768,2.01195,4.27597,0.65691,-0.48725,1.11617
3.60,3.12159,0.68765,11.19533,158.08118,5.83335,0.62097,-0.12177,3.26670,5.63526,0.62481,-0.25058,3.07919,5.44400,0.62591,-0.24143,3.12935,4.96586,0.63798,-0.37177,2.48741
3.64,2.65711,0.71262,33.28758,-155.08377,5.88800,0.61767,0.00991,3.14456,5.88800,0.61493,-0.08708,3.70320,5.82652,0.61960,-0.09318,3.35404,5.63526,0.62838,-0.25687,2.92920
3.68,2.51367,6.00470,0.08423,-467.30918,5.76504,0.62206,0.13491,2.81758,5.90849,0.61767,0.08251,3.38038,5.83335,0.61905,0.04497,3.03301,5.75138,0.61713,-0.14025,3.18267
3.72,2.72542,0.71289,-33.01127,-158.43424,5.40985,0.62920,0.23839,2.29858,5.73772,0.62399,0.19627,2.61855,5.66258,0.62453,0.14959,2.57303,6.01778,0.61575,0.00686,3.19816
3.76,2.96449,0.73594,-11.37750,153.72381,4.81559,0.64100,0.33252,1.36763,5.20493,0.63359,0.29250,1.72810,5.28690,0.63085,0.24906,2.05152,5.85384,0.61960,0.11776,3.07853
3.80,3.57241,0.68600,-4.43632,134.91426,4.22132,0.65746,0.37311,-0.15708,4.63799,0.64896,0.34052,0.66483,4.68581,0.64457,0.33347,1.04660,5.26641,0.62371,0.25363,3.02123
3.84,4.27597,0.65005,-0.62274,71.22623,3.57924,0.67448,0.32013,-1.67160,4.02324,0.66213,0.34738,-0.46329,4.13253,0.66021,0.34700,-0.28729,4.89755,0.63963,0.37997,2.96393
3.88,4.82242,0.63496,-0.40379,19.26861,3.05329,0.68490,0.21114,-2.50461,3.34700,0.67804,0.30851,-1.69197,3.51777,0.67448,0.29993,-1.39172,4.15302,0.65883,0.39464,7.36405
3.92,5.46450,0.62316,-0.25458,6.52560,2.79372,0.69094,0.10195,-2.82949,2.93717,0.68902,0.20923,-2.80527,3.05329,0.68518,0.21952,-2.12866,3.44263,0.67283,0.68714,18.19197
3.96,5.87433,0.61383,-0.10709,3.99545,2.65028,0.69341,-0.01925,-2.94316,2.70492,0.69615,0.06708,-3.44747,2.84154,0.69204,0.12634,-2.74929,3.12159,0.68710,1.29768,43.24817
4.00,5.90166,0.61301,0.06822,3.91420,2.80738,0.68902,-0.13339,-2.90743,2.62979,0.69423,-0.08022,-3.57146,2.72542,0.69560,0.01372,-3.52647,2.67077,0.69890,4.82525,44.60839
4.04,5.85384,0.62069,0.21742,3.51032,3.23088,0.68408,-0.26735,-2.39108,2.95766,0.69094,-0.24334,-2.94355,2.95766,0.69643,-0.16959,-3.78253,2.60247,1.18102,4.98684,25.59532
4.08,5.48499,0.63002,0.36187,2.68789,3.66121,0.66652,-0.36453,-0.92591,3.38116,0.67310,-0.35634,-1.34064,3.41531,0.68243,-0.35119,-2.50713,2.87569,0.70713,11.63780,-87.22085
4.12,4.94537,0.65088,0.46267,1.16464,4.33061,0.65005,-0.34319,0.64868,3.93444,0.65719,-0.34395,0.19267,3.83881,0.66295,-0.40264,-0.38032,3.07378,3.05901,-1.42364,-196.43247
4.16,4.33061,0.67201,0.44819,-0.30912,4.97269,0.63853,-0.28907,1.71050,4.62433,0.64566,-0.31137,1.10430,4.48089,0.64676,-0.35615,1.27421,3.71586,0.66405,-15.60459,-56.23943
4.20,3.59291,0.68627,0.41636,-1.40402,5.40302,0.62618,-0.20294,2.57104,5.15029,0.63249,-0.26449,2.07375,5.08198,0.63414,-0.27688,2.30784,4.33061,0.64813,-5.31650,79.76603
4.24,3.15575,0.70466,0.37158,-3.11452,5.75138,0.62042,-0.07165,3.05683,5.59428,0.62124,-0.14406,2.89142,5.45084,0.62371,-0.16750,3.05511,4.82925,0.63524,-1.94595,65.32946
4.28,2.80055,0.72359,0.15988,-4.49473,5.84018,0.62097,0.05488,3.14403,5.84701,0.62042,-0.00515,3.05603,5.73772,0.61905,-0.01772,3.32744,5.54646,0.62399,-0.21095,33.98717
4.32,2.54782,0.71756,-0.06212,-4.19063,5.64209,0.62453,0.18674,2.91682,5.73772,0.62234,0.10766,2.94726,5.73772,0.62289,0.11948,3.01422,5.75821,0.61575,-0.06498,10.24990
4.36,2.80738,0.71344,-0.18293,-3.47407,5.31422,0.63578,0.31080,2.06276,5.56013,0.62838,0.22848,2.75723,5.50548,0.62920,0.23743,2.27568,5.76504,0.61905,0.08194,4.47091
4.40,3.12159,0.70466,-0.32299,-2.84563,4.76094,0.65170,0.37158,0.71326,5.11613,0.64072,0.34491,2.04503,5.17078,0.64347,0.30965,1.28612,5.81969,0.62289,0.21285,2.88202
4.44,3.51777,0.68820,-0.44914,-1.37266,4.17351,0.66789,0.36434,-0.54573,4.46723,0.65746,0.41008,0.76381,4.58335,0.65554,0.33576,0.36047,5.30056,0.63606,0.33100,2.01460
4.48,4.20083,0.66350,-0.45619,0.58927,3.61340,0.68271,0.30679,-1.30636,3.95493,0.67365,0.44552,-1.35069,4.03007,0.67091,0.33747,-0.57934,4.78826,0.65280,0.36587,1.44716
4.52,4.79510,0.64786,-0.35977,1.69687,3.08061,0.69259,0.23991,-1.70587,3.35383,0.70137,0.29174,-3.14880,3.51094,0.68380,0.29536,-1.65307,4.28280,0.66624,0.40512,1.52246
4.56,5.29373,0.63798,-0.30946,2.44983,2.84837,0.69972,0.19665,-2.69041,2.90984,0.69752,0.11224,-3.12749,3.02596,0.69560,0.21438,-2.83319,3.50411,0.68161,0.48935,1.01802
4.60,5.71723,0.61960,-0.17931,3.37919,2.80055,0.71124,0.07432,-4.53231,2.80738,0.70438,0.04650,-3.02507,2.86886,0.70438,0.05259,-3.52448,3.12842,0.69807,0.66923,-3.37733
4.64,5.82652,0.62206,-0.00953,3.58112,2.88935,0.71399,-0.22352,-4.88815,2.78006,0.70521,-0.09909,-3.37482,2.86886,0.69999,-0.11338,-3.12286,2.83471,0.76091,0.27916,-8.66485
4.68,5.77187,0.62124,0.11452,3.56908,3.33334,0.68929,-0.42856,-2.61061,3.05329,0.69725,-0.25249,-3.01263,3.00547,0.69176,-0.20656,-2.35985,2.62296,0.72990,-0.31994,-7.31905
4.72,5.43717,0.62838,0.28755,3.51337,3.81832,0.67118,-0.43275,-0.08046,3.52460,0.68380,-0.37597,-1.75496,3.44263,0.68326,-0.28221,-1.83026,2.95083,0.71179,-0.43066,-2.81414
4.76,4.89755,0.64813,0.36148,5.08638,4.34427,0.65390,-0.38492,1.40733,4.00957,0.66405,-0.41255,0.06127,3.91395,0.67118,-0.37940,-0.69341,3.16941,0.69121,-0.40969,-0.70664
4.80,4.38526,0.66048,0.53394,9.52275,4.95903,0.63990,-0.30184,2.25120,4.64482,0.64758,-0.35691,1.55581,4.41941,0.64841,-0.36834,1.06857,3.62706,0.68353,-0.42494,-0.13352
4.84,3.74318,0.67640,1.02690,12.76338,5.35521,0.62892,-0.19932,2.73699,5.14346,0.63469,-0.26659,2.43885,5.01368,0.63798,-0.26259,2.13369,4.38526,0.65829,-0.46305,0.96641
4.88,3.18307,0.68820,2.36022,-2.37096,5.64892,0.62234,-0.06288,2.71767,5.50548,0.62481,-0.14006,2.70179,5.37570,0.62865,-0.16864,2.47140,4.78143,0.64018,-0.36053,2.28415
4.92,2.94400,0.95628,1.62048,-32.15374,5.73772,0.62591,0.03316,2.33497,5.77187,0.62453,-0.03354,2.51599,5.60794,0.62399,-0.05983,2.56350,5.34155,0.62920,-0.24239,2.80289
4.96,2.73908,0.93323,-1.54674,-31.82463,5.50548,0.62618,0.10366,2.29064,5.66942,0.62344,0.04726,2.53465,5.66258,0.62453,0.03430,2.61538,5.79237,0.62124,-0.12062,2.92013
5.00,2.82788,0.70960,-2.15290,-3.40565,5.17761,0.63167,0.21971,2.08380,5.37570,0.62618,0.16807,2.48013,5.38936,0.62591,0.14673,2.62530,5.71040,0.62069,-0.01944,3.11757
5.04,3.23088,0.68902,-1.06540,11.15848,4.67897,0.64484,0.30451,1.07664,5.01368,0.63716,0.27631,1.68946,5.09564,0.63551,0.26868,1.98509,5.68308,0.61767,0.12119,3.35629
